epoch,loss_train_1l,acc_train_1l,loss_val_1l,acc_val_1l,loss_test_1l,acc_test_1l,time_epoch_s_1l,loss_train_2l,acc_train_2l,loss_val_2l,acc_val_2l,loss_test_2l,acc_test_2l,time_epoch_s_2l
25,1.0910146,0.7333333333,1.09116629,0.6666666667,1.091047363,0.7619047619,0.15888,1.085441693,0.6761904762,1.091170765,0.4166666667,1.092341231,0.4285714286,2.700915
26,1.090628268,0.7523809524,1.090789558,0.7083333333,1.090647976,0.8095238095,0.399459,1.085093479,0.6761904762,1.091010481,0.4166666667,1.09210388,0.4285714286,2.747051
27,1.090239772,0.7714285714,1.090410768,0.7083333333,1.090246521,0.8095238095,0.160451,1.08467107,0.6857142857,1.090335154,0.4166666667,1.091917774,0.4285714286,2.709233
28,1.089849009,0.780952381,1.090029819,0.7083333333,1.089842892,0.8571428571,0.157316,1.084357091,0.6857142857,1.090041171,0.4166666667,1.091646125,0.4285714286,2.760912
29,1.089455874,0.8095238095,1.089646611,0.7083333333,1.089436983,0.8571428571,0.407186,1.084029277,0.6857142857,1.089803769,0.4166666667,1.091431009,0.4285714286,2.738011
30,1.089060261,0.819047619,1.089261042,0.7083333333,1.089028685,0.8571428571,0.16575,1.083658894,0.6952380952,1.089339989,0.4166666667,1.091091004,0.4285714286,2.830263
31,1.088662065,0.8380952381,1.088873011,0.7083333333,1.088617893,0.8571428571,0.161382,1.083304928,0.6952380952,1.089168641,0.4166666667,1.090835249,0.4285714286,2.97095
32,1.08826118,0.8380952381,1.088482413,0.7083333333,1.088204497,0.8571428571,0.400916,1.082905767,0.6952380952,1.088958069,0.4166666667,1.090465696,0.4285714286,2.809501
33,1.087857499,0.8380952381,1.088089148,0.7083333333,1.087788389,0.8571428571,0.164095,1.082463263,0.6857142857,1.088548689,0.4166666667,1.090168094,0.4285714286,2.687807
34,1.087450915,0.8476190476,1.087693111,0.75,1.087369461,0.8571428571,0.157488,1.082011176,0.6857142857,1.088181579,0.4166666667,1.089949792,0.4761904762,2.91095
35,1.08704132,0.8571428571,1.087294199,0.7916666667,1.086947604,0.8571428571,0.404016,1.081535468,0.6761904762,1.087893299,0.4166666667,1.089687254,0.4761904762,2.919691
36,1.086628607,0.8571428571,1.086892307,0.7916666667,1.086522706,0.8571428571,0.166639,1.081159801,0.6761904762,1.087691498,0.4583333333,1.089397376,0.4761904762,2.795494
37,1.086212665,0.8571428571,1.086487331,0.7916666667,1.086094659,0.8571428571,0.16145,1.0806703,0.6761904762,1.087308953,0.4583333333,1.089119112,0.4761904762,2.713568
38,1.085793387,0.8571428571,1.086079163,0.7916666667,1.085663351,0.8571428571,0.406227,1.08021469,0.6761904762,1.086766699,0.5,1.088941928,0.4761904762,2.752676
39,1.085370662,0.8666666667,1.0856677,0.7916666667,1.085228669,0.8571428571,0.159666,1.079758723,0.6666666667,1.086555732,0.5,1.088619458,0.4761904762,2.70551
40,1.084944379,0.8666666667,1.085252832,0.7916666667,1.084790503,0.8571428571,0.155642,1.079367016,0.6666666667,1.086381207,0.5,1.088467272,0.4761904762,2.753361
41,1.084514426,0.8666666667,1.084834453,0.7916666667,1.084348739,0.8571428571,0.406044,1.078983727,0.6666666667,1.086035013,0.5,1.088343757,0.4761904762,2.705875
42,1.084080692,0.8666666667,1.084412455,0.7916666667,1.083903262,0.8571428571,0.160074,1.078562216,0.6761904762,1.085762863,0.5,1.087975229,0.4761904762,2.750531
43,1.083643064,0.8666666667,1.083986728,0.7916666667,1.08345396,0.8571428571,0.159098,1.078144225,0.6952380952,1.085390952,0.5416666667,1.087749056,0.5714285714,3.051062
44,1.083201428,0.8666666667,1.083557163,0.7916666667,1.083000716,0.8571428571,0.410247,1.077666333,0.6857142857,1.085113246,0.5416666667,1.087377157,0.5238095238,2.942816
45,1.082755669,0.8666666667,1.083123649,0.7916666667,1.082543415,0.8571428571,0.156379,1.077238194,0.6952380952,1.084824426,0.5833333333,1.087097997,0.5238095238,2.805851
46,1.082305673,0.8666666667,1.082686074,0.7916666667,1.08208194,0.9047619048,0.155933,1.07676979,0.7047619048,1.084415206,0.5833333333,1.086732233,0.4761904762,2.881582
47,1.081851323,0.8666666667,1.082244328,0.7916666667,1.081616173,0.9047619048,0.41028,1.07632468,0.7047619048,1.084158247,0.5833333333,1.086437754,0.5238095238,2.805178
48,1.081392502,0.8666666667,1.081798297,0.7916666667,1.081145996,0.9047619048,0.158799,1.075916864,0.7142857143,1.083674968,0.5833333333,1.086085883,0.4761904762,2.853341
49,1.080929093,0.8666666667,1.081347867,0.8333333333,1.08067129,0.9047619048,0.16028,1.07544545,0.7142857143,1.083323749,0.625,1.085923729,0.5238095238,2.800005
50,1.080460976,0.8666666667,1.080892924,0.8333333333,1.080191934,0.9047619048,0.404522,1.075009187,0.7333333333,1.082865829,0.625,1.085639654,0.4761904762,2.854653
51,1.079988034,0.8761904762,1.080433351,0.8333333333,1.079707808,0.9047619048,0.157126,1.074505787,0.7523809524,1.082517728,0.625,1.085381871,0.5714285714,2.819218
52,1.079510144,0.8761904762,1.079969034,0.8333333333,1.07921879,0.9047619048,0.155404,1.074147483,0.7428571429,1.082067453,0.625,1.085063979,0.5238095238,2.852105
53,1.079027185,0.8761904762,1.079499854,0.8333333333,1.078724756,0.9047619048,0.406732,1.073582337,0.7428571429,1.081666811,0.625,1.084911576,0.5238095238,2.883623
54,1.078539036,0.8761904762,1.079025693,0.875,1.078225583,0.9047619048,0.159259,1.073134403,0.7333333333,1.081136261,0.625,1.084390494,0.5238095238,3.154372
55,1.078045572,0.8857142857,1.078546431,0.875,1.077721146,0.9047619048,0.160238,1.072555399,0.7428571429,1.080868968,0.625,1.084008184,0.5238095238,2.719372
56,1.077546669,0.8857142857,1.07806195,0.875,1.077211319,0.9047619048,0.40377,1.072072797,0.7523809524,1.08029916,0.625,1.083788074,0.5238095238,2.757499
57,1.077042202,0.8857142857,1.077572128,0.875,1.076695975,0.9047619048,0.15796,1.071460001,0.7428571429,1.07998434,0.625,1.083306763,0.5238095238,2.746531
58,1.076532045,0.8857142857,1.077076841,0.875,1.076174986,0.9047619048,0.155503,1.070917912,0.7428571429,1.079725437,0.625,1.083154629,0.5238095238,2.756264
59,1.076016069,0.8857142857,1.076575968,0.875,1.075648223,0.9047619048,0.406661,1.070387531,0.7619047619,1.079345884,0.625,1.0828247,0.5238095238,2.712106
60,1.075494146,0.8857142857,1.076069384,0.875,1.075115556,0.9047619048,0.165052,1.069853546,0.7619047619,1.078707511,0.625,1.082297166,0.5238095238,2.774753
61,1.074966146,0.8857142857,1.075556964,0.875,1.074576853,0.9047619048,0.160148,1.06919318,0.7619047619,1.078560233,0.625,1.081914323,0.5238095238,2.722516
62,1.07443194,0.8952380952,1.075038581,0.875,1.074031984,0.9047619048,0.40172,1.068602912,0.7714285714,1.078368019,0.5833333333,1.081855357,0.5238095238,2.758514
63,1.073891393,0.8952380952,1.074514108,0.875,1.073480813,0.9047619048,0.158209,1.068042436,0.7714285714,1.078362297,0.5416666667,1.081498773,0.5238095238,2.744341
64,1.073344375,0.8952380952,1.073983416,0.875,1.072923206,0.9047619048,0.156443,1.067464149,0.7714285714,1.078063587,0.5416666667,1.081284583,0.4761904762,2.760464
65,1.07279075,0.8952380952,1.073446375,0.875,1.072359028,0.9047619048,0.405669,1.066677244,0.780952381,1.07762688,0.5416666667,1.081063674,0.4761904762,2.718649
66,1.072230382,0.8952380952,1.072902855,0.875,1.071788141,0.9047619048,0.160332,1.06610037,0.780952381,1.077126422,0.5833333333,1.08088863,0.4761904762,2.760493
67,1.071663136,0.8952380952,1.072352724,0.875,1.071210408,0.9047619048,0.161802,1.065381308,0.7714285714,1.076394321,0.5833333333,1.080294445,0.4761904762,2.719611
68,1.071088873,0.8952380952,1.071795849,0.875,1.070625689,0.9047619048,0.407961,1.064632386,0.7714285714,1.076339462,0.5833333333,1.079899725,0.4761904762,2.758036
69,1.070507455,0.8952380952,1.071232094,0.875,1.070033843,0.9047619048,0.161153,1.064002658,0.7904761905,1.075869647,0.5833333333,1.079696233,0.4761904762,2.723072
70,1.069918741,0.8952380952,1.070661325,0.875,1.069434728,0.9047619048,0.153436,1.063250739,0.7904761905,1.074990409,0.5833333333,1.079122843,0.4761904762,2.741827
71,1.06932259,0.8952380952,1.070083406,0.875,1.068828202,0.9047619048,0.409044,1.062509348,0.8,1.074767787,0.5833333333,1.078629206,0.5714285714,2.767979
72,1.068718859,0.8952380952,1.069498197,0.875,1.06821412,0.9047619048,0.160567,1.061841661,0.8,1.073941192,0.5833333333,1.078297206,0.5714285714,2.813209
73,1.068107404,0.8952380952,1.06890556,0.875,1.067592336,0.9047619048,0.160793,1.061103268,0.7904761905,1.073507074,0.5833333333,1.077729363,0.5714285714,2.722798
74,1.06748808,0.8952380952,1.068305355,0.875,1.066962703,0.9047619048,0.411945,1.060341365,0.8,1.072525205,0.5833333333,1.077404354,0.5714285714,2.763416
75,1.06686074,0.8952380952,1.06769744,0.875,1.066325074,0.9047619048,0.156478,1.059542666,0.7904761905,1.07239978,0.5833333333,1.076904889,0.5714285714,2.722332
