epoch,loss_train,acc_train,loss_val,acc_val,loss_test,acc_test,time_epoch_s
1,0.8588969479,0.8666666667,0.8577925334,0.8333333333,0.8463583921,0.9047619048,1.000011
2,0.8587254034,0.8666666667,0.8576208092,0.8333333333,0.8461761927,0.9047619048,0.881087
3,0.8585539986,0.8666666667,0.8574496105,0.8333333333,0.8459942195,0.9047619048,0.742733
4,0.8583827173,0.8666666667,0.8572788657,0.8333333333,0.8458124466,0.9047619048,0.738143
5,0.8582115475,0.8666666667,0.8571085154,0.8333333333,0.8456308531,0.9047619048,0.739672
6,0.8580404807,0.8666666667,0.8569385098,0.8333333333,0.8454494223,0.9047619048,0.744745
7,0.8578695108,0.8666666667,0.8567688074,0.8333333333,0.8452681408,0.9047619048,0.739129
8,0.8576986331,0.8666666667,0.8565993734,0.8333333333,0.8450869973,0.9047619048,0.737816
9,0.8575278445,0.8666666667,0.8564301785,0.8333333333,0.8449059828,0.9047619048,0.746042
10,0.8573571425,0.8666666667,0.8562611981,0.8333333333,0.8447250899,0.9047619048,0.737049
11,0.8571865253,0.8666666667,0.8560924112,0.8333333333,0.8445443122,0.9047619048,0.744012
12,0.8570159917,0.8666666667,0.8559238005,0.8333333333,0.8443636447,0.9047619048,0.737899
13,0.8568455407,0.8666666667,0.8557553509,0.8333333333,0.844183083,0.9047619048,0.738338
14,0.8566751717,0.8666666667,0.8555870498,0.8333333333,0.8440026235,0.9047619048,0.744477
15,0.856504884,0.8666666667,0.8554188867,0.8333333333,0.843822263,0.9047619048,0.747052
16,0.8563346774,0.8666666667,0.8552508524,0.8333333333,0.8436419991,0.9047619048,0.736801
17,0.8561645516,0.8666666667,0.8550829392,0.8333333333,0.8434618295,0.9047619048,0.739544
18,0.8559945062,0.8666666667,0.8549151406,0.8333333333,0.8432817524,0.9047619048,0.742516
19,0.8558245411,0.8666666667,0.854747451,0.8333333333,0.8431017661,0.9047619048,0.744436
20,0.8556546562,0.8666666667,0.8545798656,0.8333333333,0.8429218694,0.9047619048,0.738230
21,0.8554848514,0.8666666667,0.8544123805,0.8333333333,0.842742061,0.9047619048,0.746145
22,0.8553151265,0.8666666667,0.8542449922,0.8333333333,0.84256234,0.9047619048,0.738364
23,0.8551454815,0.8666666667,0.8540776978,0.8333333333,0.8423827055,0.9047619048,0.744020
24,0.8549759163,0.8666666667,0.8539104947,0.8333333333,0.8422031567,0.9047619048,0.737306
25,0.8548064308,0.8666666667,0.8537433809,0.8333333333,0.8420236931,0.9047619048,0.749619
26,0.8546370249,0.8666666667,0.8535763544,0.8333333333,0.8418443141,0.9047619048,0.743507
27,0.8544676987,0.8666666667,0.8534094138,0.8333333333,0.8416650192,0.9047619048,0.749037
28,0.8542984519,0.8666666667,0.8532425577,0.8333333333,0.841485808,0.9047619048,0.740097
29,0.8541292847,0.8666666667,0.8530757849,0.8333333333,0.8413066801,0.9047619048,0.741572
30,0.8539601969,0.8666666667,0.8529090944,0.8333333333,0.8411276352,0.9047619048,0.736068
31,0.8537911884,0.8666666667,0.8527424855,0.8333333333,0.8409486731,0.9047619048,0.743317
32,0.8536222593,0.8666666667,0.8525759574,0.8333333333,0.8407697935,0.9047619048,0.743716
33,0.8534534094,0.8666666667,0.8524095095,0.8333333333,0.8405909961,0.9047619048,0.735364
34,0.8532846387,0.8666666667,0.8522431411,0.8333333333,0.8404122808,0.9047619048,0.739534
35,0.8531159472,0.8666666667,0.8520768519,0.8333333333,0.8402336475,0.9047619048,0.736511
36,0.8529473348,0.8666666667,0.8519106415,0.8333333333,0.8400550959,0.9047619048,0.746829
37,0.8527788015,0.8666666667,0.8517445094,0.8333333333,0.8398766259,0.9047619048,0.736798
38,0.8526103471,0.8666666667,0.8515784555,0.8333333333,0.8396982373,0.9047619048,0.745053
39,0.8524419717,0.8666666667,0.8514124793,0.8333333333,0.8395199302,0.9047619048,0.737767
40,0.8522736753,0.8666666667,0.8512465807,0.8333333333,0.8393417043,0.9047619048,0.738709
41,0.8521054576,0.8666666667,0.8510807595,0.8333333333,0.8391635596,0.9047619048,0.742033
42,0.8519373188,0.8666666667,0.8509150155,0.8333333333,0.8389854959,0.9047619048,0.737026
43,0.8517692587,0.8666666667,0.8507493484,0.8333333333,0.8388075133,0.9047619048,0.736692
44,0.8516012773,0.8666666667,0.8505837583,0.8333333333,0.8386296116,0.9047619048,0.741687
45,0.8514333745,0.8666666667,0.8504182449,0.8333333333,0.8384517906,0.9047619048,0.741691
46,0.8512655504,0.8666666667,0.8502528081,0.8333333333,0.8382740505,0.9047619048,0.740220
47,0.8510978048,0.8666666667,0.8500874477,0.8333333333,0.838096391,0.9047619048,0.741473
48,0.8509301376,0.8666666667,0.8499221638,0.8333333333,0.8379188122,0.9047619048,0.735081
49,0.850762549,0.8666666667,0.8497569562,0.8333333333,0.8377413139,0.9047619048,0.740063
50,0.8505950387,0.8666666667,0.8495918248,0.8333333333,0.8375638962,0.9047619048,0.736732
51,0.8504276067,0.8666666667,0.8494267696,0.8333333333,0.8373865588,0.9047619048,0.737744
