epoch,loss_train,acc_train,loss_val,acc_val,loss_test,acc_test,time_epoch_s
1,1.049794605,0.8285714286,1.049538468,0.7916666667,1.048284728,0.9047619048,1.060667
2,1.049555762,0.8285714286,1.049299043,0.7916666667,1.048035991,0.9047619048,0.721257
3,1.049317042,0.8285714286,1.049059755,0.7916666667,1.047787383,0.9047619048,0.720261
4,1.049078445,0.8285714286,1.048820601,0.7916666667,1.047538903,0.9047619048,0.709339
5,1.048839971,0.8285714286,1.04858158,0.7916666667,1.047290551,0.9047619048,0.715966
6,1.048601621,0.8285714286,1.048342688,0.7916666667,1.047042325,0.9047619048,0.724775
7,1.048363392,0.8285714286,1.048103926,0.7916666667,1.046794225,0.9047619048,0.718229
8,1.048125287,0.8285714286,1.047865292,0.7916666667,1.046546249,0.9047619048,0.727815
9,1.047887304,0.8285714286,1.047626784,0.75,1.046298397,0.9047619048,0.742908
10,1.047649443,0.8285714286,1.047388402,0.75,1.046050669,0.9047619048,0.732250
11,1.047411704,0.8285714286,1.047150145,0.75,1.045803065,0.9047619048,0.734818
12,1.047174088,0.8285714286,1.046912012,0.75,1.045555582,0.9047619048,0.739351
13,1.046936593,0.8285714286,1.046674002,0.75,1.045308223,0.9047619048,0.741973
14,1.046699221,0.8285714286,1.046436116,0.75,1.045060985,0.9047619048,0.733103
15,1.04646197,0.8285714286,1.046198352,0.75,1.044813869,0.9047619048,0.745517
16,1.046224841,0.8285714286,1.045960711,0.75,1.044566875,0.9047619048,0.731567
17,1.045987834,0.8285714286,1.045723192,0.75,1.044320002,0.9047619048,0.731387
18,1.045750949,0.8285714286,1.045485794,0.75,1.04407325,0.9047619048,0.722366
19,1.045514185,0.8285714286,1.045248517,0.75,1.043826619,0.9047619048,0.707213
20,1.045277543,0.8285714286,1.045011362,0.75,1.04358011,0.9047619048,0.704757
21,1.045041022,0.8380952381,1.044774327,0.75,1.04333372,0.9047619048,0.710790
22,1.044804623,0.8380952381,1.044537413,0.75,1.043087452,0.9047619048,0.700292
23,1.044568345,0.8380952381,1.04430062,0.75,1.042841304,0.9047619048,0.705979
24,1.044332188,0.8380952381,1.044063947,0.75,1.042595276,0.9047619048,0.703998
25,1.044096152,0.8380952381,1.043827394,0.75,1.042349368,0.9047619048,0.718346
26,1.043860238,0.8380952381,1.043590961,0.75,1.04210358,0.9047619048,0.703769
27,1.043624445,0.8380952381,1.043354648,0.75,1.041857913,0.9047619048,0.708959
28,1.043388772,0.8380952381,1.043118455,0.75,1.041612365,0.9047619048,0.706552
29,1.043153221,0.8476190476,1.042882382,0.75,1.041366937,0.9047619048,0.735116
30,1.04291779,0.8476190476,1.042646428,0.75,1.041121629,0.9047619048,0.767468
31,1.04268248,0.8476190476,1.042410594,0.75,1.040876441,0.9047619048,0.750297
32,1.042447291,0.8476190476,1.042174879,0.75,1.040631372,0.9047619048,0.745450
33,1.042212223,0.8476190476,1.041939284,0.75,1.040386422,0.9047619048,0.740829
34,1.041977275,0.8476190476,1.041703808,0.75,1.040141592,0.9047619048,0.732272
35,1.041742447,0.8476190476,1.041468451,0.75,1.039896882,0.9047619048,0.728998
36,1.04150774,0.8476190476,1.041233213,0.75,1.03965229,0.9047619048,0.722263
37,1.041273154,0.8476190476,1.040998094,0.75,1.039407818,0.9047619048,0.752862
38,1.041038687,0.8476190476,1.040763094,0.75,1.039163465,0.9047619048,0.721576
