epoch,loss_train,acc_train,loss_val,acc_val,loss_test,acc_test,time_epoch_s
1,1.099940378,0.219047619,1.099816548,0.25,1.100493989,0.09523809524,0.036455
2,1.099675044,0.2380952381,1.099551762,0.25,1.100218259,0.1428571429,0.064727
3,1.099410159,0.2761904762,1.099287263,0.25,1.099943055,0.1428571429,0.048845
4,1.099145636,0.2857142857,1.099022997,0.2916666667,1.09966829,0.1904761905,0.036653
5,1.098881414,0.2857142857,1.098758929,0.2916666667,1.099393898,0.1904761905,0.045437
6,1.098617446,0.2857142857,1.098495035,0.2916666667,1.099119829,0.2380952381,0.045323
7,1.0983537,0.2952380952,1.098231298,0.3333333333,1.098846046,0.2380952381,0.045374
8,1.098090151,0.3047619048,1.097967705,0.3333333333,1.098572517,0.2857142857,0.045142
9,1.097826783,0.3428571429,1.09770425,0.3333333333,1.098299219,0.3333333333,0.045150
10,1.097563583,0.3714285714,1.097440928,0.3333333333,1.098026135,0.380952381,0.045285
11,1.097300541,0.380952381,1.097177737,0.3333333333,1.097753249,0.380952381,0.045610
12,1.097037652,0.380952381,1.096914673,0.3333333333,1.09748055,0.380952381,0.047861
13,1.096774911,0.3904761905,1.096651737,0.3333333333,1.097208029,0.4285714286,0.038541
14,1.096512314,0.419047619,1.096388929,0.3333333333,1.096935679,0.4285714286,0.050177
15,1.096249859,0.4571428571,1.096126248,0.3333333333,1.096663492,0.4285714286,0.049112
16,1.095987544,0.4571428571,1.095863695,0.375,1.096391464,0.4761904762,0.046721
17,1.095725367,0.4666666667,1.09560127,0.375,1.096119591,0.4761904762,0.045501
18,1.095463328,0.4952380952,1.095338974,0.4583333333,1.09584787,0.4761904762,0.045399
19,1.095201426,0.5333333333,1.095076806,0.5,1.095576297,0.4761904762,0.045294
20,1.09493966,0.5428571429,1.094814769,0.5833333333,1.09530487,0.5238095238,0.045144
21,1.09467803,0.5714285714,1.094552861,0.5833333333,1.095033588,0.5238095238,0.045141
22,1.094416536,0.580952381,1.094291083,0.5833333333,1.094762448,0.5238095238,0.045144
23,1.094155177,0.5904761905,1.094029437,0.5833333333,1.09449145,0.5714285714,0.045195
24,1.093893953,0.6285714286,1.093767921,0.625,1.094220591,0.5714285714,0.047697
25,1.093632864,0.6571428571,1.093506536,0.625,1.093949871,0.5714285714,0.049930
26,1.09337191,0.6666666667,1.093245283,0.625,1.093679289,0.5714285714,0.048303
27,1.093111091,0.6761904762,1.092984161,0.625,1.093408844,0.619047619,0.038441
28,1.092850407,0.6761904762,1.092723171,0.625,1.093138535,0.619047619,0.047962
29,1.092589857,0.6761904762,1.092462313,0.625,1.092868363,0.619047619,0.048881
30,1.092329441,0.6952380952,1.092201586,0.625,1.092598326,0.6666666667,0.046984
31,1.09206916,0.7047619048,1.091940992,0.6666666667,1.092328424,0.6666666667,0.047207
32,1.091809013,0.7047619048,1.09168053,0.6666666667,1.092058656,0.6666666667,0.046669
33,1.091549,0.7238095238,1.0914202,0.6666666667,1.091789023,0.6666666667,0.047127
34,1.091289122,0.7238095238,1.091160001,0.6666666667,1.091519524,0.6666666667,0.047272
35,1.091029377,0.7142857143,1.090899935,0.6666666667,1.091250158,0.7142857143,0.046881
36,1.090769767,0.7428571429,1.090640001,0.6666666667,1.090980926,0.8095238095,0.047142
37,1.09051029,0.7428571429,1.090380199,0.6666666667,1.090711828,0.8095238095,0.051367
38,1.090250947,0.7523809524,1.09012053,0.7083333333,1.090442862,0.8095238095,0.047322
39,1.089991739,0.7523809524,1.089860992,0.7083333333,1.090174029,0.8095238095,0.048708
40,1.089732663,0.7523809524,1.089601586,0.7083333333,1.089905329,0.8095238095,0.038865
41,1.089473722,0.7619047619,1.089342312,0.75,1.089636762,0.8095238095,0.047476
